Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-10,POSITIVO,COMPRA,12.37,808,9994.98,5.02,10000.0,,"Busca do brasileiro por investimento em ouro aumenta com preço recorde do metal Na B3, volume financeiro de futuros do ouro ainda é baixo, mas disparou 700% de um mês para o outro | Busca do brasileiro por investimento em ouro aumenta com preço recorde do metal Na B3, volume financeiro de futuros do ouro ainda é baixo, mas disparou 700% de um mês para o outro | Busca do brasileiro por investimento em ouro aumenta com preço recorde do metal Na B3, volume financeiro de futuros do ouro ainda é baixo, mas disparou 700% de um mês para o outro | Busca do brasileiro por investimento em ouro aumenta com preço recorde do metal Na B3, volume financeiro de futuros do ouro ainda é baixo, mas disparou 700% de um mês para o outro"
2025-10-24,NEGATIVO,VENDA,12.23,0,0.0,9890.42,9890.42,-109.58,"Morgan Stanley recomenda ações do setor financeiro ante corte de juros no Brasil Banco de Wall Street projeta início do ciclo de cortes em março de 2026 e indica ações de XP, BTG Pactual e B3 como apostas para capturar o movimento esperado de queda na curva longa de juros | Morgan Stanley recomenda ações do setor financeiro ante corte de juros no Brasil Banco de Wall Street projeta início do ciclo de cortes em março de 2026 e indica ações de XP, BTG Pactual e B3 como apostas para capturar o movimento esperado de queda na curva longa de juros"
2025-12-19,NEGATIVO,MANTIDO (Zerado),12.97,0,0.0,9890.42,9890.42,,"Ibovespa sobe com bolsas de NY, mas fecha com perda semanal de 1,43% O principal índice da B3 subiu 0,35%, aos 158.473 pontos com impulso de bancos, Vale e Petrobras"
2025-12-25,NEGATIVO,MANTIDO (Zerado),13.11,0,0.0,9890.42,9890.42,,Debandada na B3: lembre quais empresas deixaram a bolsa brasileira em 2025 Mercado de ações do Brasil perdeu companhias de diferentes portes e setores — e a tendência continua no final do ano
2026-01-02,POSITIVO,COMPRA,13.45,735,9882.41,8.01,9890.42,,"Itaú ultrapassa Petrobras e assume liderança em valor de mercado na B3 em 2025 O ano também consolidou o avanço do BTG Pactual, que saltou da sétima para a terceira colocação no ranking"
2026-01-09,POSITIVO,MANTIDO (Comprado),14.38,735,10570.52,8.01,10578.53,,"Ibovespa fecha em alta e acumula ganhos de quase 2% na semana O principal índice acionário da B3 avançou 0,27% nesta sexta, 9, com dados econômicos do Brasil e dos EUA no radar"
2026-01-16,POSITIVO,MANTIDO (Comprado),15.12,735,11112.22,8.01,11120.23,,"Fora do eixo Rio-SP, Piauí se destaca com novos entrantes na B3 em 2025 Atualmente, a bolsa conta com quase 5,5 milhões de investidores em renda variável"
2026-01-19,NEGATIVO,VENDA,15.0,0,0.0,11032.39,11032.39,1141.97,"Ibovespa fica no zero a zero com Vale e siderúrgicas em baixa; serviços avançam O principal índice da B3 fechou com alta marginal de 0,03%, aos 164.849 pontos"
2026-01-22,POSITIVO,COMPRA,15.6,707,11026.89,5.5,11032.39,,"Ibovespa renova recorde pela terceira sessão com bancos em destaque O principal índice da B3 fechou em alta de 2,20%, aos 175.589 pontos, após atingir máxima histórica intradiária de 177.741 pontos"
2026-01-24,NEGATIVO,VENDA,15.81,0,0.0,11180.26,11180.26,147.87,"Da liderança ao fechamento de capital: entenda a crise que tira a Gol da B3 Com dívida bilionária, diluição acionária e controle da holding Abra, empresa aérea já havia pedido recuperação judicial em 2024 e se prepara para fechar capital | Enquanto a B3 sobe com gringos, bolsa das PMEs mira investidor brasileiro Na bolsa de pequenas e médias empresas, tese é que o investidor local investe no que conhece"
2026-01-26,NEGATIVO,MANTIDO (Zerado),15.79,0,0.0,11180.26,11180.26,,"Ibovespa fecha em leve baixa e interrompe sequência de recordes O principal índice da B3 recuou 0,08%, aos 178.720 pontos com Vale entre as maiores quedas do dia"
2026-01-27,POSITIVO,COMPRA,16.17,691,11176.5,3.76,11180.26,,"Ibovespa retoma fôlego e bate novo recorde, aos 181 mil pontos O principal índice acionário da B3 renovou o recorde intradiário nesta terça-feira, 27, ao atingir os 181.329 pontos | Euforia volta à bolsa e Ibovespa bate os 182 mil pontos O principal índice da B3 avançou 2,29%, aos 182.816,64 pontos, e renovou sua máxima intradiária mais uma vez no dia | Ibovespa fecha aos 181 mil pontos e caminha para melhor mês em 16 anos O principal índice acionário da B3 renovou máximas históricas ao longo do dia e encerrou o pregão em novo recorde de fechamento"
2026-01-28,POSITIVO,MANTIDO (Comprado),16.61,691,11479.31,3.76,11483.07,,"Ibovespa alcança os 184 mil pontos em dia de Fed e Copom O principal índice da B3 avançou 1,41% e atingiu os 184.483,46 pontos, nova máxima intradiária | Ibovespa se afasta da máxima após manutenção de juros nos EUA Principal índice acionário da B3 mantém o avanço, com um percentual menor de alta de 0,66%, aos 183.113 pontos, depois de ter tocados os 185 mil | Fluxo estrangeiro faz Ibovespa bater novo recorde aos 184 mil pontos Pelo segundo dia consecutivo, o principal índice acionário da B3 avançou 1,52%, aos 184.691 pontos"
2026-01-30,NEGATIVO,VENDA,16.19,0,0.0,11194.03,11194.03,13.76,"De saída da Bolsa, Gol dispara 9%: saiba como vender a ação A companhia aérea informou que a CVM concedeu o registro da OPA de suas ações preferenciais, etapa necessária para a saída da B3 | Ibovespa fecha em baixa com pressão do exterior, mas sobe 13% no mês Apesar da queda nas últimas duas sessões, o principal índice da B3 também avançou 1,40% ao longo da semana"
2026-02-02,POSITIVO,COMPRA,16.52,677,11186.05,7.97,11194.03,,"Após disparada em 2025, educação mantém alta firme na B3: onde investir? Cogna subiu 45% em janeiro mantendo liderança do Ibovespa, mas outros nomes do setor estão no radar dos analistas"
