Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-08-28,NEGATIVO,MANTIDO (Zerado),44.15,0,0.0,10000.0,10000.0,,BTG Pactual zera IOF em compras internacionais com cartões de crédito e débito Nova campanha do banco oferece economia imediata e benefícios exclusivos para clientes em viagens | BTG Pactual zera IOF em compras internacionais com cartões de crédito e débito Nova campanha do banco oferece economia imediata e benefícios exclusivos para clientes em viagens | BTG Pactual zera IOF em compras internacionais com cartões de crédito e débito Nova campanha do banco oferece economia imediata e benefícios exclusivos para clientes em viagens | BTG Pactual zera IOF em compras internacionais com cartões de crédito e débito Nova campanha do banco oferece economia imediata e benefícios exclusivos para clientes em viagens
2025-09-22,POSITIVO,COMPRA,46.58,214,9967.15,32.85,10000.0,,"Cartões BTG Pactual: benefícios, exclusividade e soluções financeiras completas Conheça os cartões que combinam cashback, pontos, viagens e segurança para cada perfil de cliente | Cartões BTG Pactual: benefícios, exclusividade e soluções financeiras completas Conheça os cartões que combinam cashback, pontos, viagens e segurança para cada perfil de cliente | Cartões BTG Pactual: benefícios, exclusividade e soluções financeiras completas Conheça os cartões que combinam cashback, pontos, viagens e segurança para cada perfil de cliente | Cartões BTG Pactual: benefícios, exclusividade e soluções financeiras completas Conheça os cartões que combinam cashback, pontos, viagens e segurança para cada perfil de cliente"
2025-09-23,POSITIVO,MANTIDO (Comprado),47.2,214,10100.32,32.85,10133.18,,"Onde Investir 2025: relatório do BTG Pactual aponta os ativos mais promissores do segundo semestre Equipe de Research do BTG Pactual, reconhecida como a melhor da América Latina, apresenta análises estratégicas para proteger e multiplicar patrimônio | Onde Investir 2025: relatório do BTG Pactual aponta os ativos mais promissores do segundo semestre Equipe de Research do BTG Pactual, reconhecida como a melhor da América Latina, apresenta análises estratégicas para proteger e multiplicar patrimônio | Onde Investir 2025: relatório do BTG Pactual aponta os ativos mais promissores do segundo semestre Equipe de Research do BTG Pactual, reconhecida como a melhor da América Latina, apresenta análises estratégicas para proteger e multiplicar patrimônio | Onde Investir 2025: relatório do BTG Pactual aponta os ativos mais promissores do segundo semestre Equipe de Research do BTG Pactual, reconhecida como a melhor da América Latina, apresenta análises estratégicas para proteger e multiplicar patrimônio"
2025-10-24,NEGATIVO,VENDA,47.81,0,0.0,10264.24,10264.24,264.24,"Morgan Stanley recomenda ações do setor financeiro ante corte de juros no Brasil Banco de Wall Street projeta início do ciclo de cortes em março de 2026 e indica ações de XP, BTG Pactual e B3 como apostas para capturar o movimento esperado de queda na curva longa de juros | Morgan Stanley recomenda ações do setor financeiro ante corte de juros no Brasil Banco de Wall Street projeta início do ciclo de cortes em março de 2026 e indica ações de XP, BTG Pactual e B3 como apostas para capturar o movimento esperado de queda na curva longa de juros"
2025-12-04,POSITIVO,COMPRA,56.18,182,10224.22,40.02,10264.24,,BTG Pactual reafirma sua liderança com 4º prêmio consecutivo como o melhor Banco para empresas Reconhecimento global destaca a excelência e compromisso do BTG Pactual com pequenas e médias empresas
2025-12-10,NEGATIVO,VENDA,52.78,0,0.0,9645.79,9645.79,-618.45,"Cartão Ultrablue do BTG Pactual zera IOF e leva experiência de viagem a outro nível Além do IOF Zero em compras internacionais, o Ultrablue dá direito às salas VIP ilimitadas e concierge global para clientes BTG"
2026-01-02,POSITIVO,COMPRA,52.23,184,9610.32,35.47,9645.79,,"Itaú ultrapassa Petrobras e assume liderança em valor de mercado na B3 em 2025 O ano também consolidou o avanço do BTG Pactual, que saltou da sétima para a terceira colocação no ranking | Bolsa pode chegar aos 220 mil pontos, mas com turbulências, diz BTG Em relatório, o banco aponta que desempenho da Bolsa dependerá de fatores econômicos e políticos, com potencial de variação de 120 mil a 220 mil pontos | BTG retoma Itaú e ajusta carteira de janeiro: saem Smartfit e Copel, entra Raia O banco voltou a recomendar o Itaú em sua carteira e ajustou posições em varejo e serviços públicos em ""busca equilíbrio para o início de 2026"""
2026-01-05,NEGATIVO,VENDA,53.98,0,0.0,9967.79,9967.79,322.0,"BTG Pactual recebe licença para operar como banco nos EUA após aquisição Banco concluiu aquisição do M.Y. Safra Bank, anunciada em junho de 2024 | Busca por proteção em ouro faz ação da Aura Minerals subir mais de 6% Para analistas do BTG, tensões geopolíticas, como a intervenção na Venezuela, viraram 'novo normal' e fazem parte do cenário base das projeções"
2026-01-06,NEGATIVO,MANTIDO (Zerado),53.91,0,0.0,9967.79,9967.79,,"BTG vê C&A com vendas estagnadas e varejo pressionado por juros altos Ainda que inflação tenha desacelerado, custo de crédito segue como freio relevante ao consumo, diz o banco"
2026-01-09,NEGATIVO,MANTIDO (Zerado),54.4,0,0.0,9967.79,9967.79,,"Os metais esquecidos que podem destravar valor na Vale (VALE3) Níquel e cobre podem destravar cerca de 20% do valor patrimonial da Vale, calcula o BTG Pactual"
