Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-22,POSITIVO,COMPRA,85.13,117,9960.0,40.0,10000.0,,"Citi prevê retomada dos IPOs no Brasil a partir de 2026 após quatro anos de hiato Em entrevista à Bloomberg News, Nicolas Roca, chefe do banco de investimentos do Citi para a América Latina, disse que nem a eleição presidencial no Brasil deve mudar o cenário favorável para ofertas iniciais no próximo ano | Citi prevê retomada dos IPOs no Brasil a partir de 2026 após quatro anos de hiato Em entrevista à Bloomberg News, Nicolas Roca, chefe do banco de investimentos do Citi para a América Latina, disse que nem a eleição presidencial no Brasil deve mudar o cenário favorável para ofertas iniciais no próximo ano"
2025-12-19,POSITIVO,MANTIDO (Comprado),106.64,117,12477.39,40.0,12517.39,,"Investidor local deve puxar alta da bolsa brasileira em 2026, prevê Citi Com cortes na taxa Selic, entrada do investidor local no ano que vem deve superar o fluxo estrangeiro deste ano"
2026-01-07,POSITIVO,MANTIDO (Comprado),107.76,117,12607.51,40.0,12647.5,,Citi destoa do mercado e vê recuperação do dólar nos próximos meses Projeções do banco americano contrastam com o consenso de outras instituições do páis e apostam na reaceleração dos EUA e alta do DXY
2026-01-14,NEGATIVO,VENDA,100.39,0,0.0,11785.47,11785.47,1785.47,"BofA, Citi e Wells Fargo: bancos caem em NY após números do 4 tri Balanços vieram mistos, mas reação do mercado foi negativa em relação aos resultados dos três 'bancões'"
2026-02-03,NEGATIVO,MANTIDO (Zerado),102.59,0,0.0,11785.47,11785.47,,"Citi projeta barril de petróleo Brent em até US$ 90 por barril nesta semana com conflito no Irã Banco americano, porém, prevê um recuo no preço da commodity de forma rápida, mediante um arrefecimento nas tensões"
2026-02-26,NEGATIVO,MANTIDO (Zerado),99.06,0,0.0,11785.47,11785.47,,"Gestores com mais de US$ 20 tri sob gestão ampliam aposta em emergentes, diz Citi Gestores ampliam posições em ações e dívida de emergentes e reduzem exposição a Treasuries, em aposta em dólar mais fraco e crescimento global resiliente, enquanto incertezas fiscais pesam sobre os desenvolvidos"
2026-03-03,NEGATIVO,MANTIDO (Zerado),96.74,0,0.0,11785.47,11785.47,,"Citi anuncia novo presidente no Brasil André Cury ocupava até então o cargo de diretor de commercial banking para o Brasil e América Latina | Citi aponta Brasil como exceção em cenário inflacionário pressionado na América Latina México e Colômbia enfrentam inflação persistente devido aos salários e às políticas fiscais; o Brasil pode reduzir as taxas, enquanto a Costa Rica mantém a inflação baixa e uma política monetária rígida, diz relatório"
2026-04-09,NEGATIVO,MANTIDO (Zerado),103.86,0,0.0,11785.47,11785.47,,Brasil eleva importação de Mounjaro e reduz compras de Ozempic Quebra de patente da semaglutida é apontada pelo Citi como razão de uma dinâmica do mercado | Citi vê alta limitada para Petrobras; JP aposta em caixa e vê ação barata Bancos têm visões distintas sobre a estatal em meio ao choque do petróleo
2026-04-15,POSITIVO,COMPRA,109.15,107,11679.14,106.34,11785.47,,"Bancos dos EUA têm lucro recorde com ‘trade’ na guerra Juntos, J.P. Morgan, Citi e Wells Fargo reportaram mais de US$ 25 bilhões em lucros nos primeiros três meses do ano"
2026-04-16,POSITIVO,MANTIDO (Comprado),108.42,107,11601.29,106.34,11707.63,,"Citi vê oportunidades para a América Latina em meio ao choque do Oriente Médio Em entrevista à Bloomberg Línea, Ernesto Revilla, economista-chefe para América Latina do banco, avalia que a região se beneficia de fundamentos mais sólidos e da posição de produtora de petróleo, mas alerta para riscos fiscais no Brasil e na Colômbia às vésperas de eleições | A visão do Citi sobre a América Latina Também no Breakfast: A estratégia da Bemobi após a aquisição da Paytime, segundo o CEO | A aposta de Lula no fim da escala 6x1 | O adeus a Mark Mobius, o guru dos mercados emergentes"
2026-04-23,NEGATIVO,VENDA,106.79,0,0.0,11532.74,11532.74,-252.73,"O desafio dos VCs com o êxodo de empreendedores para os EUA Também no Breakfast: A nova projeção do BofA para o Ibovespa em 2026 | A ferramenta de IA do Citi para a área de wealth | O plano da Alvorada, apoiada pela Galapagos, para crescer no setor de petróleo na Venezuela"
