Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-22,POSITIVO,COMPRA,34.74,287,9969.26,30.74,10000.0,,"Pix pelo WhatsApp: Bancos transformam plataforma em canal de pagamento com ajuda de IA PicPay, Itaú e Nubank usam IA generativa para permitir transferências via WhatsApp e reforçam o protagonismo do Brasil em serviços financeiros digitais | Pix pelo WhatsApp: Bancos transformam plataforma em canal de pagamento com ajuda de IA PicPay, Itaú e Nubank usam IA generativa para permitir transferências via WhatsApp e reforçam o protagonismo do Brasil em serviços financeiros digitais"
2025-10-27,NEGATIVO,VENDA,34.73,0,0.0,9997.4,9997.4,-2.6,"Crises de dívida corporativa são casos pontuais, avaliam BlackRock, Itaú e Patria Em participação no Bloomberg Línea Summit 2025, Marina Tennenbaum, do Patria, Bruno Barino, da BlackRock, e Sylvio Castro, do Itaú, avaliam que o mercado de crédito continua saudável, apesar de situações de estresse recentes | Crises de dívida corporativa são casos pontuais, avaliam BlackRock, Itaú e Patria Em participação no Bloomberg Línea Summit 2025, Marina Tennenbaum, do Patria, Bruno Barino, da BlackRock, e Sylvio Castro, do Itaú, avaliam que o mercado de crédito continua saudável, apesar de situações de estresse recentes"
2025-12-25,POSITIVO,COMPRA,38.62,258,9963.82,33.58,9997.4,,"Controladora do Itaú aumenta participação em dona da Havaianas Itaúsa (ITSA4) agora detém 15,94% das ações preferenciais da Alpargatas (ALPA4)"
2026-01-02,POSITIVO,MANTIDO (Comprado),38.86,258,10024.64,33.58,10058.22,,"Itaú ultrapassa Petrobras e assume liderança em valor de mercado na B3 em 2025 O ano também consolidou o avanço do BTG Pactual, que saltou da sétima para a terceira colocação no ranking | BTG retoma Itaú e ajusta carteira de janeiro: saem Smartfit e Copel, entra Raia O banco voltou a recomendar o Itaú em sua carteira e ajustou posições em varejo e serviços públicos em ""busca equilíbrio para o início de 2026"""
2026-01-26,POSITIVO,MANTIDO (Comprado),44.34,258,11439.94,33.58,11473.52,,"Se eu tivesse investido R$ 1 mil no Itaú no começo do ano, teria quanto hoje? Quem comprou o papel na abertura do dia 2 de janeiro de 2026 ganhou uma valorização líquida de 8,45%"
2026-02-04,POSITIVO,MANTIDO (Comprado),44.81,258,11562.08,33.58,11595.66,,"Itaú divulga balanço do 4⁰ trimestre hoje: veja o que esperar Na avaliação de grandes bancos, Itaú deve reportar nesta quarta, 4, mais um trimestre sólido com lucro líquido estimado em R$ 12,3 bilhões no quarto trimestre de 2025 | Itaú lucra R$ 12,3 bi no quarto trimestre e rentabilidade supera 24% Carteira de crédito consolidada do banco se aproxima de R$ 1,5 bilhão"
2026-02-05,POSITIVO,MANTIDO (Comprado),45.16,258,11651.53,33.58,11685.11,,"Itaú já não está tão descontado na bolsa, mas CEO vê 'múltiplo diferenciado' Executivo lembra que 'valuation' foi revisado em 2025 com resultados fortes; o mesmo pode ocorrer este ano"
2026-02-07,NEGATIVO,VENDA,46.56,0,0.0,12045.46,12045.46,2048.07,"Pix fora do ar? Forma de pagamento passa por instabilidades neste sábado, 7 Falha, segundo o DownDetector e comentários nas redes sociais, afeta também bancos como Santander, Nubank e Itaú"
2026-03-17,POSITIVO,COMPRA,42.12,286,12045.29,0.17,12045.46,,"Ibovespa reduz alta, puxado por Vale e Itaú; dólar vai a R$ 5,19 Por outro lado, as ações de Petrobras (PETR3 e PETR4) seguem no campo positivo, impulsionando a alta do Ibovespa"
2026-03-25,NEGATIVO,VENDA,42.65,0,0.0,12199.27,12199.27,153.8,"Valor da dívida dos brasileiros supera PIB do Uruguai e compraria o Itaú Dívidas de inadimplentes chegou a R$ 539 bilhões em fevereiro, mostra Mapa da Inadimplência"
2026-03-30,NEGATIVO,MANTIDO (Zerado),42.25,0,0.0,12199.27,12199.27,,"Itaú vê inflação mais pressionada e eleva projeção da Selic a 13% Em relação ao IPCA, banco elevou estimativa deste ano de 3,8% para 4,5%"
2026-04-01,POSITIVO,COMPRA,42.6,286,12184.19,15.08,12199.27,,"Para Maluhy, foco do Itaú nos EUA é ‘atender bem’ os atuais clientes latino-americanos Destino tradicional para compras e turismo, Miami passou a concentrar também a ampliação da atuação de bancos brasileiros no exterior"
2026-04-08,NEGATIVO,VENDA,45.18,0,0.0,12936.84,12936.84,737.57,"O alerta do Itaú para o risco de o petróleo subir a US$ 180 Mesmo que os preços se mantenham nos níveis atuais, acima de US$ 100, inflação global pode ir para a faixa de 5%"
2026-04-10,POSITIVO,COMPRA,45.74,282,12898.89,37.95,12936.84,,"Digitalização acende o apetite pelo microcrédito Historicamente dominado pelo Banco do Nordeste (BNB), esse segmento viu a consolidação do Santander, a expansão do Itaú e algumas idas e vindas da Caixa nos últimos anos"
2026-04-14,NEGATIVO,VENDA,46.35,0,0.0,13108.78,13108.78,171.95,Relator no Cade dá 30 dias para Itaú cumprir liminar sobre carteiras digitais A decisão atende a pedido do banco e será submetida ao Tribunal do órgão
