Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-12-24,NEGATIVO,MANTIDO (Zerado),432.3,0,0.0,10000.0,10000.0,,S&P 500 renova máxima histórica e dá início ao 'rali do Papai Noel' Mercados operam estáveis com apostas em cortes de juros do Fed e dólar no menor nível desde outubro
2026-01-06,POSITIVO,COMPRA,420.49,23,9671.27,328.73,10000.0,,"Empresa famosa pelo pen drive dispara 550% e vira 'queridinha' nos EUA Apenas alguns dias após o início de janeiro, as ações da Sandisk lideram o índice S&P 500 mais uma vez, com uma alta de 40% no acumulado do ano"
2026-02-03,NEGATIVO,VENDA,407.84,0,0.0,9709.05,9709.05,-290.95,"Bolsas de NY fecham sem direção única com ataque ao Irã e 'techs' no radar O índice Dow Jones encerrou em queda de 0,15%, aos 48.904,16 pontos, o S&P 500 ganhou 0,04%, aos 6.881,55 pontos, e o Nasdaq subiu 0,36%, aos 22.748,86 pontos"
2026-02-10,NEGATIVO,MANTIDO (Zerado),405.75,0,0.0,9709.05,9709.05,,Dow Jones renova recorde apesar de recuo do S&P 500 e Nasdaq Dados fracos de vendas no varejo e temores com avanço da IA pressionaram ações
2026-02-27,NEGATIVO,MANTIDO (Zerado),398.39,0,0.0,9709.05,9709.05,,"Futuros dos EUA caem com sell-off em chips; S&P 500 caminha para queda em fevereiro Movimento ocorre após investidores zerarem ganhos em fabricantes de chips, em meio a temores de bolha ligada à IA e rotação para Europa e Ásia"
2026-03-03,NEGATIVO,MANTIDO (Zerado),401.5,0,0.0,9709.05,9709.05,,"Ibovespa acompanha NY e reduz perdas, mas segue em baixa de mais de 2% No exterior, as bolsas de Nova York também desaceleravam as perdas. O Dow Jones caía 0,70%, o S&P 500 recuava 0,83% e o Nasdaq perdia 0,88%"
2026-03-06,NEGATIVO,MANTIDO (Zerado),394.5,0,0.0,9709.05,9709.05,,"Mercados globais ficam estáveis à espera de dados dos EUA Enquanto os futuros dos índices S&P 500, Nasdaq 100 e Dow Jones praticamente não se mexeram, o índice europeu Stoxx 600 subiu 0,4%. Na Ásia, o MSCI Asia Pacific avançou 0,2%"
2026-03-10,NEGATIVO,MANTIDO (Zerado),395.57,0,0.0,9709.05,9709.05,,A aposta do JP Morgan para o S&P 500 com a guerra no Irã Banco vê risco de queda de até 10% no índice caso o conflito no Oriente Médio se prolongue e pressione os preços do petróleo
2026-03-11,NEGATIVO,MANTIDO (Zerado),393.5,0,0.0,9709.05,9709.05,,"S&P rebaixa Raízen para 'inadimplência seletiva' após recuperação extrajudicial Empresa busca renegociar R$ 65,1 bilhões em dívidas e suspenderá pagamentos enquanto negocia apoio de credores"
2026-03-12,NEGATIVO,MANTIDO (Zerado),394.84,0,0.0,9709.05,9709.05,,"Por que os 'short sellers' podem voltar ao radar de Wall Street Alta do S&P 500 pressionou fundos que apostam na queda dos papéis, mas analistas dizem que short sellers seguem essenciais ao mercado"
2026-03-30,NEGATIVO,MANTIDO (Zerado),377.45,0,0.0,9709.05,9709.05,,"Mercado aposta que guerra do Irã será curta – mas conflito já dura um mês Mesmo com escalada no Oriente Médio, S&P 500 cai menos do que o esperado, sustentado por lucros em alta, petróleo sob controle e aposta de conflito curto | Bolsas de NY fecham sem direção única com foco em fala de Powell e guerra no Irã O índice Dow Jones encerrou em alta de 0,11%, aos 45.216,14 pontos, o S&P 500 cedeu 0,39%, aos 6.343,73 pontos, e o Nasdaq recuou 0,73%, aos 20.794,64 pontos"
2026-03-31,NEGATIVO,MANTIDO (Zerado),382.36,0,0.0,9709.05,9709.05,,"Bolsas de NY disparam com expectativas pelo fim da guerra no Irã O Dow Jones encerrou em alta de 2,49%, aos 46.341,21 pontos, o Nasdaq subiu 3.83%, aos 21.590,63 pontos, e o S&P 500 avançou 2,91%, aos 6.528,45 pontos"
2026-04-01,POSITIVO,COMPRA,378.97,25,9474.25,234.8,9709.05,,"Bolsas de NY avançam com otimismo sobre um acordo entre EUA e Irã O índice Dow Jones encerrou em alta de 0,48%, aos 46.565,37 pontos, o S&P 500 ganhou 0,72%, aos 6.575,32 pontos, e o Nasdaq subiu 1,16%, aos 21.840,95 pontos"
2026-04-03,POSITIVO,MANTIDO (Comprado),383.6,25,9590.0,234.8,9824.8,,"Bolsas de NY fecham em alta com diminuição do estresse global e avanço de 'techs' O índice Dow Jones subiu 0,49%, aos 48.738,98 pontos, o S&P 500 ganhou 0,78%, aos 6.869,46 pontos, e o Nasdaq escalou 1,29%, aos 22.807,48 pontos"
2026-04-06,NEGATIVO,VENDA,383.5,0,0.0,9822.3,9822.3,113.25,"Bolsas sobem em NY apesar de incerteza sobre negociações para cessar-fogo no Irã O índice Dow Jones subiu 0,35%, aos 46.669,45 pontos, o S&P 500 avançou 0,45%, aos 6.611,99 pontos, e o Nasdaq teve alta de 0,54%, aos 21.996,337 pontos."
2026-04-07,NEGATIVO,MANTIDO (Zerado),387.77,0,0.0,9822.3,9822.3,,"Bolsas de NY fecham sem direção única com incertezas sobre guerra no Oriente Médio O índice Dow Jones teve queda de 0,18%, aos 46.584,81 pontos, enquanto o S&P 500 subiu 0,08%, aos 6.616,84 pontos, e o Nasdaq teve alta de 0,10%, aos 22.017,849 pontos"
2026-04-09,NEGATIVO,MANTIDO (Zerado),387.5,0,0.0,9822.3,9822.3,,"Bolsas sobem em NY apesar de incertezas sobre cessar-fogo no Oriente Médio O índice Dow Jones teve alta de 0,58%, aos 48.185,80 pontos, o S&P 500 avançou 0,62%, aos 6.824,65 pontos, e o Nasdaq subiu 0,83%, aos 22.822,417 pontos"
2026-04-10,NEGATIVO,MANTIDO (Zerado),385.0,0,0.0,9822.3,9822.3,,"Bolsas de NY fecham sem direção única com foco em negociações entre EUA e Irã O índice Dow Jones anotou queda de 0,56%, aos 47.916,33 pontos, o S&P 500 caiu 0,11%, aos 6.816,82 pontos,e o Nasdaq avançou 0,35%, aos 22.902,894 pontos"
2026-04-13,POSITIVO,COMPRA,388.4,25,9710.0,112.3,9822.3,,"Bolsas sobem em NY após Trump dizer que Irã quer fechar acordo O índice Dow Jones teve alta de 0,63%, aos 48.217,26 pontos, o S&P 500 subiu 1,02%, aos 6.886,11 pontos, e o Nasdaq avançou 1,23%, aos 23.183,736 pontos"
2026-04-14,NEGATIVO,VENDA,392.4,0,0.0,9922.3,9922.3,100.0,S&P 500 apaga perdas da guerra e passa a acumular ganhos no ano Bom humor dos mercados foi reforçado por índice de inflação melhor que o esperado
2026-04-19,POSITIVO,COMPRA,398.89,24,9573.36,348.94,9922.3,,"Ganhos de US$ 4 trilhões: como as ações de tecnologia voltaram a impulsionar o S&P 500 Desde que o S&P 500 atingiu a mínima de 2026 em 30 de março, o setor de tecnologia passou do pior grupo do índice de referência para o melhor; mais da metade do recente avanço do S&P 500 vem de apenas sete empresas do segmento"
2026-04-24,POSITIVO,MANTIDO (Comprado),401.93,24,9646.32,348.94,9995.26,,Nasdaq e S&P 500 sobem com suporte de tecnologia e foco em negociações EUA-Irã Casa Branca também informou que Israel e Líbano concordaram em prolongar a trégua
