Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,NEGATIVO,MANTIDO (Zerado),12.44,0,0.0,10000.0,10000.0,,"Ações globais caem com investidores atentos às tarifas e aos balanços corporativos Cautela prevalece nos mercados com temores sobre tarifas e expectativa por balanços de gigantes como Coca-Cola, GE e Netflix, que divulgarão os resultados nesta terça-feira (21) | Ibovespa cai e dólar sobe a R$ 5,40 com investidores de olho em tarifas e balanços Investidores aguardam relatório de produção e vendas da Vale (VALE3) e, no exterior, do balanço da Netflix; Weg (WEGE3) e Usiminas (USIM5) também divulgam resultados nesta semana | Ibovespa hoje: bolsa recua e dólar sobe a R$ 5,39; Ambipar desaba 29% Empresa de gestão de resíduos buscou proteção contra credores em meio à crise; Netflix culpa perda tributária no Brasil por resultado global abaixo do esperado | Ações globais caem com investidores atentos às tarifas e aos balanços corporativos Cautela prevalece nos mercados com temores sobre tarifas e expectativa por balanços de gigantes como Coca-Cola, GE e Netflix, que divulgarão os resultados nesta terça-feira (21) | Ibovespa cai e dólar sobe a R$ 5,40 com investidores de olho em tarifas e balanços Investidores aguardam relatório de produção e vendas da Vale (VALE3) e, no exterior, do balanço da Netflix; Weg (WEGE3) e Usiminas (USIM5) também divulgam resultados nesta semana | Ibovespa hoje: bolsa recua e dólar sobe a R$ 5,39; Ambipar desaba 29% Empresa de gestão de resíduos buscou proteção contra credores em meio à crise; Netflix culpa perda tributária no Brasil por resultado global abaixo do esperado"
2025-10-22,NEGATIVO,MANTIDO (Zerado),12.07,0,0.0,10000.0,10000.0,,"Além da IA: o avanço quântico nos negócios Também no Breakfast: A bilionária perda tributária no Brasil que derrubou o resultado da Netflix | A nova proposta do governo para elevar impostos a bancos, bets e fintechs | OpenAI lança navegador com IA em desafio ao Chrome, do Google | Além da IA: o avanço quântico nos negócios Também no Breakfast: A bilionária perda tributária no Brasil que derrubou o resultado da Netflix | A nova proposta do governo para elevar impostos a bancos, bets e fintechs | OpenAI lança navegador com IA em desafio ao Chrome, do Google"
2025-12-20,NEGATIVO,MANTIDO (Zerado),10.55,0,0.0,10000.0,10000.0,,"Ao bloquear conteúdo para assinante 'básico', Netflix traz 'Black Mirror' para vida real Restrição de acesso a conteúdos no plano com anúncios lembra episódio de série produzida pela própria plataforma"
2025-12-22,NEGATIVO,MANTIDO (Zerado),10.42,0,0.0,10000.0,10000.0,,Netflix refinancia US$ 25 bi para avançar na compra da Warner Plataforma contratou novos empréstimos para reduzir ponte de US$ 59 bilhões ligada à oferta por ativos da Warner
2026-01-08,NEGATIVO,MANTIDO (Zerado),9.71,0,0.0,10000.0,10000.0,,"Melhor que a Netflix: após negativa, Paramount insiste em comprar a Warner Em documento oficial, a empresa Paramount que sua proposta pela Warner é 'superior' à da Netflix"
2026-01-12,NEGATIVO,MANTIDO (Zerado),9.59,0,0.0,10000.0,10000.0,,Paramount processa Warner e exige divulgação de dados a acionistas Empresa pede à Justiça de Delaware que obrigue a WBD a detalhar critérios usados para recomendar acordo com a Netflix
2026-01-13,NEGATIVO,MANTIDO (Zerado),9.75,0,0.0,10000.0,10000.0,,"Netflix avalia mudar proposta de compra da Warner Bros e pagar tudo em dinheiro Propósito da companhia de streaming é acelerar a venda, cujo processo levaria meses para ser concluído em razão da resistência do governo americano e da Paramount"
2026-01-15,NEGATIVO,MANTIDO (Zerado),9.52,0,0.0,10000.0,10000.0,,"Paramount apela para Macron para convencer a Warner a esquecer Netflix e aceitar sua oferta Além do presidente francês, executivos da Paramount estão se aproximando também do governo do Reino Unido"
2026-01-21,NEGATIVO,MANTIDO (Zerado),9.12,0,0.0,10000.0,10000.0,,"Netflix agrada em lucro e receita, mas guidance derruba as ações Apesar dos números sólidos, a Netflix decepcionou no guidance dado para o trimestre atual, prevendo lucro de US$ 0,76 por ação sobre vendas de US$ 12,16 bilhões"
2026-02-24,NEGATIVO,MANTIDO (Zerado),8.13,0,0.0,10000.0,10000.0,,"Virada de jogo? Warner diz que oferta da Paramount pode superar a da Netflix Com a sinalização do conselho da Warner, a Netflix terá quatro dias úteis para apresentar resposta caso o colegiado aprove a nova oferta"
