Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-29,POSITIVO,COMPRA,22.84,437,9980.29,19.71,10000.0,,"Nvidia se aproxima de valor de mercado histórico de US$ 5 trilhões CEO Jensen Huang revela chips encomendados em US$ 500 bilhões e parceria com Uber para 100 mil robotáxis até 2027 | Nvidia se aproxima de valor de mercado histórico de US$ 5 trilhões CEO Jensen Huang revela chips encomendados em US$ 500 bilhões e parceria com Uber para 100 mil robotáxis até 2027 | Ações na Europa sobem com rali tech e expectativa de corte de juros pelo Fed Gigantes de tecnologia mantêm o rali enquanto investidores aguardam a decisão do Fed nesta quarta-feira; Nvidia avançava 2,6% | Nvidia se aproxima de valor de mercado histórico de US$ 5 trilhões CEO Jensen Huang revela chips encomendados em US$ 500 bilhões e parceria com Uber para 100 mil robotáxis até 2027 | Nvidia é a 1ª empresa a atingir US$ 5 trilhões em valor de mercado Huang revelou na terça-feira, 28, que a Nvidia recebeu encomendas de chips de IA no valor de US$ 500 bilhões e que a empresa planeja construir sete supercomputadores para governo dos EUA | Ações na Europa sobem com rali tech e expectativa de corte de juros pelo Fed Gigantes de tecnologia mantêm o rali enquanto investidores aguardam a decisão do Fed nesta quarta-feira; Nvidia avançava 2,6%"
2025-12-19,POSITIVO,MANTIDO (Comprado),21.2,437,9264.04,19.71,9283.75,,Cade dos EUA aprova acordo entre Nvidia e Intel Parceria visa combinar expertise em IA da Nvidia com processadores da Intel em novos produtos para data centers
2026-02-03,POSITIVO,MANTIDO (Comprado),19.68,437,8599.83,19.71,8619.54,,"Walmart se torna primeira varejista a valer US$ 1 trilhão na bolsa Crescimento do comércio eletrônico e novos negócios impulsiona a varejista, que entra para o clube das gigantes de tecnologia como Nvidia"
2026-02-06,POSITIVO,MANTIDO (Comprado),19.98,437,8730.92,19.71,8750.63,,"Dow Jones supera os 50 mil pontos pela 1ª vez com rali de chips e foco em IA Entre os destaques do pregão, a Nvidia disparou com a expectativa de que fabricantes de chips se beneficiem do aumento dos investimentos em data centers"
2026-02-07,NEGATIVO,VENDA,19.98,0,0.0,8750.63,8750.63,-1249.37,"Lembra dela? DeepSeek derrubou mercados há um ano — como está a empresa hoje? Após o tombo em janeiro de 2025, empresas como Nvidia e ASML não só se recuperaram como ampliaram sua liderança | Fôlego de última hora não poupou Nvidia de pior semana do ano na bolsa Ação da empresa acumula baixa em 2026, com novos questionamentos sobre a tese de inteligência artificial"
2026-02-10,POSITIVO,COMPRA,20.45,427,8731.82,18.81,8750.63,,"TSMC cresce 37% em janeiro com impulso de IA da Nvidia e Apple Principal fornecedora de semicondutores para a Nvidia e a Apple, a TSMC consolidou-se como uma das maiores beneficiárias da corrida global por IA"
2026-02-25,POSITIVO,MANTIDO (Comprado),21.09,427,9005.08,18.81,9023.9,,"Balanço da Nvidia, pesquisa eleitoral e inflação na Europa: o que move os mercados Temporada de resultados ganha força no Brasil e nos EUA, com destaque também para Nubank, Weg, Engie Brasil e ISA Energia nesta quarta, 25 | Entre euforia e risco, Nvidia apresenta números do 4º tri: o que esperar Gigante dos chips deve faturar US$ 65,7 bilhões no 4º tri fiscal, enquanto hyperscalers projetam mais de US$ 600 bilhões em capex em 2026 | Nvidia lucra US$ 39,6 bi no trimestre, supera expectativa e ação reage Companhia informou ter batido recorde de receita no período, chegando a US$ 68,1 bilhões"
2026-02-26,NEGATIVO,VENDA,19.79,0,0.0,8468.82,8468.82,-281.81,"Nvidia fatura, em um trimestre, quase o dobro da receita da Vale em um ano Cifra também supera vendas da Petrobras nos nove primeiros meses de 2025 | Ações globais operam em alta contida após balanço da Nvidia e com EUA-Irã no radar Guidance da Nvidia freia entusiasmo com IA, ao mesmo tempo em que tensão entre EUA e Irã sustenta o Brent acima de US$ 71 e mantém investidores cautelosos | Ibovespa fecha em queda com pressão da Vale e exterior negativo; dólar sobe a R$ 5,14 Ações da mineradora recuaram 0,8% nesta quinta-feira (26); balanço da Nvidia não anima mercados no exterior, que seguem preocupados com IA"
2026-03-05,NEGATIVO,MANTIDO (Zerado),19.99,0,0.0,8468.82,8468.82,,"Ação da Nvidia cai com proposta de Trump para controlar exportação de chips EUA pode exigir autorização para exportação de chips de IA, ampliando o controle de Washington sobre infraestrutura tecnológica"
2026-03-10,NEGATIVO,MANTIDO (Zerado),19.9,0,0.0,8468.82,8468.82,,"Nvidia cai em 2026 com temores sobre energia e inflação Embora não haja sinais de interrupções diretas na produção global de semicondutores, analistas veem que impacto da guerra pode chegar por meio do aumento dos custos de energia e transporte"
