Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-22,POSITIVO,COMPRA,29.19,342,9981.86,18.14,10000.0,,"Ibovespa hoje: bolsa sobe com Vale (VALE3) e Petrobras (PETR4); dólar avança a R$ 5,40 Ações da mineradora subiram 1,8%, após melhor resultado de produção em sete anos no terceiro trimestre, e ajudaram o Ibovespa a descolar do quadro exterior negativo | Ibovespa hoje: bolsa sobe com Vale (VALE3) e Petrobras (PETR4); dólar avança a R$ 5,40 Ações da mineradora subiram 1,8%, após melhor resultado de produção em sete anos no terceiro trimestre, e ajudaram o Ibovespa a descolar do quadro exterior negativo"
2025-10-28,POSITIVO,MANTIDO (Comprado),28.78,342,9841.23,18.14,9859.36,,"Nubank supera Petrobras como empresa mais valiosa do Brasil. E é segunda em LatAm Banco digital comandado por David Vélez e Cristina Junqueira se valorizou mais de 50% neste ano, chegou a US$ 77 bilhões em market cap e agora só fica atrás do Mercado Livre; analistas avaliam as perspectivas de crescimento do negócio | Nubank supera Petrobras como empresa mais valiosa do Brasil. E é segunda em LatAm Banco digital comandado por David Vélez e Cristina Junqueira se valorizou mais de 50% neste ano, chegou a US$ 77 bilhões em market cap e agora só fica atrás do Mercado Livre; analistas avaliam as perspectivas de crescimento do negócio"
2025-12-19,NEGATIVO,VENDA,29.88,0,0.0,10238.75,10238.75,238.75,"Petrobras e Braskem assinam contratos que totalizam quase US$ 18 bilhões Contrato principal é referente ao fornecimento de nafta petroquímica para fornecimento às fábricas da Braskem | Ibovespa sobe com bolsas de NY, mas fecha com perda semanal de 1,43% O principal índice da B3 subiu 0,35%, aos 158.473 pontos com impulso de bancos, Vale e Petrobras"
2025-12-22,NEGATIVO,MANTIDO (Zerado),30.14,0,0.0,10238.75,10238.75,,"Vale versus Petrobras: qual gigante da bolsa se saiu melhor em 2025 Enquanto a Petrobras sofreu o baque da queda no preço do petróleo, a Vale surfou na surpresa do minério"
2026-01-02,POSITIVO,COMPRA,30.29,338,10236.7,2.06,10238.75,,"Itaú ultrapassa Petrobras e assume liderança em valor de mercado na B3 em 2025 O ano também consolidou o avanço do BTG Pactual, que saltou da sétima para a terceira colocação no ranking"
2026-01-05,NEGATIVO,VENDA,29.96,0,0.0,10128.72,10128.72,-110.04,"Por que petroleiras dos EUA sobem e Petrobras cai com crise na Venezuela Lá fora, investidores reagem positivamente à perspectiva de maior presença de empresas americanas na exploração do petróleo venezuelano"
2026-01-06,NEGATIVO,MANTIDO (Zerado),29.27,0,0.0,10128.72,10128.72,,"Ação da Petrobras cai com vazamento na Foz do Amazonas e petróleo A perfuração do bloco 59 da bacia Foz do Amazonas registrou um vazamento no domingo, 4, e foi confirmado pela empresa nesta terça, 6"
2026-01-07,NEGATIVO,MANTIDO (Zerado),29.51,0,0.0,10128.72,10128.72,,"Ibovespa interrompe 'lua de mel' com bancos e cai mais de 1% O recuo dos bancos, após duas sessões de alta, pesou sobre o índice e limitou o desempenho da Bolsa apesar das altas de Vale e Petrobras"
2026-01-08,POSITIVO,COMPRA,29.76,340,10119.5,9.22,10128.72,,"Petrobras, bancos e elétricas garantem alta do Ibovespa, apesar de Bradesco e Vale O principal índice da bolsa brasileira avançou 0,59%, aos 162.936 pontos na sessão desta quinta-feira, 9"
2026-01-13,NEGATIVO,VENDA,30.93,0,0.0,10524.51,10524.51,395.79,"Petrobras e Vale sobem, mas Ibovespa recua com maioria das ações em baixa O principal índice acionário da B3 estendia as perdas da sessão passada ao cair 0,76% nesta terça-feira, 13 | Ibovespa cai 0,72% com 56 ações em baixa; Vale e Petrobras são exceções Mesmo com os dados de inflação dentro do esperado nos EUA, as tensões geopolíticas impulsionaram um clima de aversão ao risco global"
