Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,NEGATIVO,MANTIDO (Zerado),13.78,0,0.0,10000.0,10000.0,,A ambição da 99 no Brasil Também no Breakfast: Ambipar pede recuperação judicial no Brasil e nos EUA com R$ 11 bi em dívidas | Mastercard aposta em novo cartão premium acima do Black | David Vélez diz que início de operação do Nubank nos EUA pode levar anos. | A ambição da 99 no Brasil Também no Breakfast: Ambipar pede recuperação judicial no Brasil e nos EUA com R$ 11 bi em dívidas | Mastercard aposta em novo cartão premium acima do Black | David Vélez diz que início de operação do Nubank nos EUA pode levar anos.
2025-10-22,POSITIVO,COMPRA,13.72,728,9988.16,11.84,10000.0,,"Pix pelo WhatsApp: Bancos transformam plataforma em canal de pagamento com ajuda de IA PicPay, Itaú e Nubank usam IA generativa para permitir transferências via WhatsApp e reforçam o protagonismo do Brasil em serviços financeiros digitais | Pix pelo WhatsApp: Bancos transformam plataforma em canal de pagamento com ajuda de IA PicPay, Itaú e Nubank usam IA generativa para permitir transferências via WhatsApp e reforçam o protagonismo do Brasil em serviços financeiros digitais"
2025-10-28,POSITIVO,MANTIDO (Comprado),14.36,728,10454.08,11.84,10465.92,,"Nubank supera Petrobras como empresa mais valiosa do Brasil. E é segunda em LatAm Banco digital comandado por David Vélez e Cristina Junqueira se valorizou mais de 50% neste ano, chegou a US$ 77 bilhões em market cap e agora só fica atrás do Mercado Livre; analistas avaliam as perspectivas de crescimento do negócio | Nubank supera Petrobras como empresa mais valiosa do Brasil. E é segunda em LatAm Banco digital comandado por David Vélez e Cristina Junqueira se valorizou mais de 50% neste ano, chegou a US$ 77 bilhões em market cap e agora só fica atrás do Mercado Livre; analistas avaliam as perspectivas de crescimento do negócio"
2026-01-22,POSITIVO,MANTIDO (Comprado),15.9,728,11575.2,11.84,11587.04,,"Nubank supera Bradesco e se torna 2º maior banco do Brasil em clientes A fintech alcançou 112,0 milhões de clientes, segundo dados do Banco Central divulgados nesta quinta-feira, 22"
2026-01-28,POSITIVO,MANTIDO (Comprado),16.39,728,11931.92,11.84,11943.76,,"Nubank fecha em alta histórica e valor de mercado se aproxima de US$ 90 bi Os papéis do banco fecharam em US$ 18,55, com valorização de mais de 10% apenas em janeiro"
2026-02-07,NEGATIVO,VENDA,15.22,0,0.0,11092.0,11092.0,1092.0,"Pix fora do ar? Forma de pagamento passa por instabilidades neste sábado, 7 Falha, segundo o DownDetector e comentários nas redes sociais, afeta também bancos como Santander, Nubank e Itaú"
2026-02-26,NEGATIVO,MANTIDO (Zerado),13.02,0,0.0,11092.0,11092.0,,A aposta da Natura em biotecnologia na Antártida Também no Breakfast: O crescimento da receita líquida de juros do Nubank no 4º tri | A reação negativa de investidores ao resultado do Mercado Livre| O CEO que demitiu 30% da equipe para focar em IA em aposta por produtividade
2026-03-02,NEGATIVO,MANTIDO (Zerado),12.98,0,0.0,11092.0,11092.0,,"BTG troca Raia por Motiva e reduz Nubank nas recomendações de março Troca ocorre em meio a fluxo estrangeiro forte e tensão no Irã, que mantém exposição a petróleo e ouro na carteira"
2026-03-11,POSITIVO,COMPRA,12.45,890,11080.5,11.5,11092.0,,"CEO do Nubank diz que Trump foi 'positivo' para o setor financeiro nos EUA Com 131 milhões de clientes no Brasil, México e Colômbia, o banco digital está a um passo de entrar no mercado financeiro americano"
2026-03-17,NEGATIVO,VENDA,12.48,0,0.0,11118.7,11118.7,26.7,BBA vê oportunidade rara em Nubank: 'ação nunca esteve tão barata' Papel acumula queda de 15% no ano e atinge menor múltiplo P/L da história
2026-04-09,NEGATIVO,MANTIDO (Zerado),12.7,0,0.0,11118.7,11118.7,,"Nubank negocia colocar seu nome no estádio do Palmeiras, dizem fontes Para que o Nubank posso assumir o ""naming rights"" do estádio, a WTorre terá de rescindir seu contrato com a seguradora Allianz, assinado em 2013 e que tinha duração de 20 anos"
