Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,NEGATIVO,MANTIDO (Zerado),58.16,0,0.0,10000.0,10000.0,,"Ibovespa opera em queda com Vale e Ambipar no radar Dólar registrava alta de 0,08% às 13h, cotado a R$ 5,375 | Ibovespa cai e dólar sobe a R$ 5,40 com investidores de olho em tarifas e balanços Investidores aguardam relatório de produção e vendas da Vale (VALE3) e, no exterior, do balanço da Netflix; Weg (WEGE3) e Usiminas (USIM5) também divulgam resultados nesta semana | Ibovespa cai e dólar sobe a R$ 5,40 com investidores de olho em tarifas e balanços Investidores aguardam relatório de produção e vendas da Vale (VALE3) e, no exterior, do balanço da Netflix; Weg (WEGE3) e Usiminas (USIM5) também divulgam resultados nesta semana"
2025-12-19,NEGATIVO,MANTIDO (Zerado),71.03,0,0.0,10000.0,10000.0,,"Ibovespa sobe com bolsas de NY, mas fecha com perda semanal de 1,43% O principal índice da B3 subiu 0,35%, aos 158.473 pontos com impulso de bancos, Vale e Petrobras"
2025-12-22,NEGATIVO,MANTIDO (Zerado),73.23,0,0.0,10000.0,10000.0,,"Vale versus Petrobras: qual gigante da bolsa se saiu melhor em 2025 Enquanto a Petrobras sofreu o baque da queda no preço do petróleo, a Vale surfou na surpresa do minério"
2026-01-06,POSITIVO,COMPRA,76.1,131,9969.1,30.9,10000.0,,"Ibovespa fecha com ganhos de mais de 1%; veja maiores altas e baixas Pregão marcado pelo desempenho positivo dos bancos e da Vale encerrou nesta terça,6, com Hapvida na liderança e Vivara na ponta oposta"
2026-01-08,POSITIVO,MANTIDO (Comprado),74.9,131,9811.9,30.9,9842.8,,"Petrobras, bancos e elétricas garantem alta do Ibovespa, apesar de Bradesco e Vale O principal índice da bolsa brasileira avançou 0,59%, aos 162.936 pontos na sessão desta quinta-feira, 9"
2026-01-09,NEGATIVO,VENDA,75.0,0,0.0,9855.9,9855.9,-144.1,"Os metais esquecidos que podem destravar valor na Vale (VALE3) Níquel e cobre podem destravar cerca de 20% do valor patrimonial da Vale, calcula o BTG Pactual | Fusão Glencore-Rio Tinto põe em xeque plano da Vale para retomar liderança global Para os analistas, a fusão, se confirmada, torna mais difícil o plano anunciado em 2025 pela Vale de voltar a ser a maior mineradora do mundo"
2026-01-13,NEGATIVO,MANTIDO (Zerado),75.84,0,0.0,9855.9,9855.9,,"Petrobras e Vale sobem, mas Ibovespa recua com maioria das ações em baixa O principal índice acionário da B3 estendia as perdas da sessão passada ao cair 0,76% nesta terça-feira, 13 | Ibovespa cai 0,72% com 56 ações em baixa; Vale e Petrobras são exceções Mesmo com os dados de inflação dentro do esperado nos EUA, as tensões geopolíticas impulsionaram um clima de aversão ao risco global"
2026-01-14,POSITIVO,COMPRA,78.9,124,9783.6,72.3,9855.9,,"Bancos, Vale e pesquisa eleitoral: por que o Ibovespa sobe hoje As chamadas Blue chips, ações de grandes empresas, puxam a recuperação do índice nesta quarta, 14, após duas sessões de queda"
2026-01-19,NEGATIVO,VENDA,77.83,0,0.0,9723.22,9723.22,-132.68,"Ibovespa fica no zero a zero com Vale e siderúrgicas em baixa; serviços avançam O principal índice da B3 fechou com alta marginal de 0,03%, aos 164.849 pontos"
2026-01-26,POSITIVO,COMPRA,83.59,116,9696.44,26.78,9723.22,,"Vale lidera perdas do Ibovespa com novo transbordamento em mina Mineradora informou dois episódios de transbordamento em operações em Minas Gerais em dias seguidos | Ibovespa opera de lado após recordes; Vale e Petrobras sobem Principal índice acionário abriu em leve alta, mas vem oscilando em torno da estabilidade com juros no radar | Se você tivesse investido R$ 1 mil na Vale no começo do ano, teria quanto hoje? Quem comprou o papel na abertura do dia 2 de janeiro de 2026 ganhou uma valorização líquida de 14,76%"
