Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-12-22,NEGATIVO,MANTIDO (Zerado),160.41,0,0.0,10000.0,10000.0,,"Netflix refinancia US$ 25 bi para avançar na compra da Warner Plataforma contratou novos empréstimos para reduzir ponte de US$ 59 bilhões ligada à oferta por ativos da Warner | Paramount garante apoio do fundador da Oracle em nova oferta pela Warner Garantia pessoal de US$ 40,4 bilhões busca reforçar proposta da Paramount para o conselho da Warner"
2025-12-30,NEGATIVO,MANTIDO (Zerado),158.56,0,0.0,10000.0,10000.0,,"Warner deve rejeitar nova oferta da Paramount, diz agência O conselho da Warner ainda não tomou uma decisão final oficial, mas deve se reunir na próxima semana para tratar do tema"
2026-01-07,NEGATIVO,MANTIDO (Zerado),153.69,0,0.0,10000.0,10000.0,,Warner rejeita proposta de Paramount e vai seguir acordo com Netflix Decisão foi comunicada em carta divulgada pela companhia ao mercado
2026-01-08,NEGATIVO,MANTIDO (Zerado),154.97,0,0.0,10000.0,10000.0,,"Melhor que a Netflix: após negativa, Paramount insiste em comprar a Warner Em documento oficial, a empresa Paramount que sua proposta pela Warner é 'superior' à da Netflix"
2026-01-10,NEGATIVO,MANTIDO (Zerado),153.45,0,0.0,10000.0,10000.0,,"Ação da Netflix está cara; oferta pela Warner acende alerta do mercado Preço ainda elevado limita a atratividade dos papéis para os investidores, aponta análise da Bloomberg"
2026-01-12,NEGATIVO,MANTIDO (Zerado),152.48,0,0.0,10000.0,10000.0,,Paramount processa Warner e exige divulgação de dados a acionistas Empresa pede à Justiça de Delaware que obrigue a WBD a detalhar critérios usados para recomendar acordo com a Netflix
2026-01-13,NEGATIVO,MANTIDO (Zerado),154.98,0,0.0,10000.0,10000.0,,"Netflix avalia mudar proposta de compra da Warner Bros e pagar tudo em dinheiro Propósito da companhia de streaming é acelerar a venda, cujo processo levaria meses para ser concluído em razão da resistência do governo americano e da Paramount"
2026-01-15,NEGATIVO,MANTIDO (Zerado),154.5,0,0.0,10000.0,10000.0,,"Paramount apela para Macron para convencer a Warner a esquecer Netflix e aceitar sua oferta Além do presidente francês, executivos da Paramount estão se aproximando também do governo do Reino Unido"
2026-01-22,POSITIVO,COMPRA,149.62,66,9874.92,125.08,10000.0,,"Ações da Paramount sobem mesmo com nova recusa da Warner As ações da Paramount (PSKY) avançam nesta quinta, 22, após a companhia estender até 20 de fevereiro o prazo de sua oferta para a Warner"
2026-02-23,NEGATIVO,VENDA,149.22,0,0.0,9973.6,9973.6,-26.4,"Paramount faz oferta maior pela compra da Warner Bros e acirra disputa com a Netflix Companhia cumpriu o prazo estabelecido pela Warner para apresentar a nova proposta, após inúmeras recusas"
2026-02-24,NEGATIVO,MANTIDO (Zerado),148.65,0,0.0,9973.6,9973.6,,"Virada de jogo? Warner diz que oferta da Paramount pode superar a da Netflix Com a sinalização do conselho da Warner, a Netflix terá quatro dias úteis para apresentar resposta caso o colegiado aprove a nova oferta"
2026-02-26,NEGATIVO,MANTIDO (Zerado),144.96,0,0.0,9973.6,9973.6,,"Seguro-desemprego nos EUA, balanços e política fiscal: o que move os mercados Investidores acompanham os balanços de Dell Technologies e Warner Bros. Discovery, em meio à disputa pelo estúdio envolvendo Netflix e Paramount | Na mira de Netflix e Paramount, Warner tem prejuízo de US$ 252 mi no 4º tri Os números do quarto trimestre revelam uma empresa em contração em quase todas as frentes e com uma dívida multibilionária, mas os segmentos de estúdios e streaming se mantém lucrativos | Warner considera oferta da Paramount superior à da Netflix e inicia nova fase na disputa Agora, a Netflix tem prazo de quatro dias úteis para apresentar uma contraproposta que supere o valor oferecido pela rival | Paramount vence a disputa pela Warner após a Netflix desistir da compra Disputa foi concluída após a Warner considerar a proposta da Paramount superior à da Netflix"
2026-02-27,NEGATIVO,MANTIDO (Zerado),145.0,0,0.0,9973.6,9973.6,,"Investidores da Netflix ganham com saída de negócio da Warner; ação sobe Acionistas da gigante do streaming se sentiram aliviados após Netflix desistir de compra | Warner Bros assina acordo de venda com a Paramount, diz agência Proposta apresentada pela companhia de mídia está estimada em aproximadamente US$ 110 bilhões | A nova porta da Arco para o mercado de dívida Também no Breakfast: A desistência da Netflix de oferta pela Warner | A expansão da Orfeu em azeites premium | A busca do BRB por até R$ 8,9 bi para cobrir rombo do Banco Master"
2026-03-02,NEGATIVO,MANTIDO (Zerado),150.85,0,0.0,9973.6,9973.6,,"A reação de investidores à guerra no Irã Também no Breakfast: A saída calculada da Netflix da Warner, segundo o co-CEO | As semelhanças entre o ataque de Trump no Irã com a invasão de Bush no Iraque | A aposta lucrativa do Rosewood na gastronomia"
2026-04-16,POSITIVO,COMPRA,136.92,72,9858.24,115.36,9973.6,,"A Warner é passado: esse é o plano da Netflix para atingir 1 bilhão de pessoas Perda da Warner ativou uma nova estratégia na gigante do entretenimento, que passa a investir cada vez mais em IA para seus criadores de conteúdo"
